iter	F1	Logloss
0	0.7445081569	0.6764878535
1	0.7453888354	0.6608486563
2	0.7442745418	0.6461429088
3	0.7451836664	0.6323378341
4	0.7451439801	0.619421878
5	0.7451222505	0.6070761498
6	0.745415856	0.5954723792
7	0.7454142724	0.5846848383
8	0.7452275594	0.574296227
9	0.7438992257	0.5646163971
10	0.7437836401	0.5554038908
11	0.7426266142	0.5466010549
12	0.7428096668	0.5382190343
13	0.7428248897	0.5302997828
14	0.7428593456	0.5228884143
15	0.7430465383	0.5158174032
16	0.7430505448	0.5091113874
17	0.7429017631	0.5026722927
18	0.743105089	0.4966109586
19	0.7431736856	0.4908722895
20	0.743141539	0.4853556369
21	0.7430419089	0.4800965237
22	0.7431273336	0.4750899282
23	0.7430731756	0.4703427312
24	0.7432631908	0.4658379113
25	0.7433439279	0.4615010753
26	0.7433294928	0.4573091171
27	0.7434289319	0.4534170284
28	0.7434435519	0.449627774
29	0.7433401922	0.4459998872
30	0.7434255189	0.4425830627
31	0.7434596074	0.4392737997
32	0.743467839	0.4361271748
33	0.7433578654	0.4331588719
34	0.7435641771	0.4303330548
35	0.7435127751	0.4275792197
36	0.7434043946	0.4249349807
37	0.7434462907	0.4224077002
38	0.7435174841	0.4200557625
39	0.7435583954	0.4177286885
40	0.7435642768	0.4156380181
41	0.7436329472	0.4135534984
42	0.7436310086	0.4115472884
43	0.7436558219	0.409713456
44	0.7437090198	0.4078483914
45	0.7436222083	0.4060714102
46	0.743634204	0.4044728907
47	0.7436178065	0.4029125197
48	0.7436382309	0.4013698885
49	0.7436646628	0.3999031868
50	0.7436506841	0.398509646
51	0.7437072076	0.3972085452
52	0.7437811452	0.3959071075
53	0.743810346	0.3946647267
54	0.743806277	0.393455644
55	0.7437772904	0.3923064545
56	0.743773161	0.3912092487
57	0.7437882351	0.390155405
58	0.7437486863	0.3891414946
59	0.7437962606	0.3882075853
60	0.7437685594	0.3873338033
61	0.7438031186	0.386437627
62	0.7437818862	0.3855840839
63	0.7439049646	0.3847509215
64	0.74388408	0.3839648639
65	0.7439444358	0.3832749855
66	0.7439740839	0.3825986308
67	0.7438896401	0.3819581098
68	0.7438320573	0.3812472517
69	0.7438744032	0.3806265816
70	0.7439652591	0.3800189902
71	0.744025511	0.3794696438
72	0.743991239	0.3789480218
73	0.7440320109	0.3784570158
74	0.7439669872	0.3779730477
75	0.7440486657	0.3774648237
76	0.744093626	0.3769661372
77	0.7441443674	0.3765585946
78	0.744143929	0.3761036405
79	0.7440958325	0.3756907445
80	0.7441421719	0.375295381
81	0.7440984741	0.3749368151
82	0.7440897782	0.3745450101
83	0.7441392627	0.3741754632
84	0.7442674191	0.3738120723
85	0.744295837	0.3734709002
86	0.7443690445	0.373181543
87	0.7442496978	0.3728617986
88	0.7443050226	0.3725379995
89	0.7443121653	0.372263657
90	0.7443629651	0.3720031441
91	0.7443917974	0.3717702121
92	0.744393969	0.3715461928
93	0.7444100091	0.3712719669
94	0.7443817779	0.3710182949
95	0.7444032774	0.3707694278
96	0.7444328468	0.3705501493
97	0.7445246223	0.3703241323
98	0.7444428918	0.3701577693
99	0.744517626	0.369953715
