iter	Passed	Remaining
0	177	17570
1	264	12965
2	347	11250
3	430	10327
4	508	9657
5	581	9106
6	653	8682
7	732	8420
8	808	8175
9	887	7984
10	964	7804
11	1043	7652
12	1136	7603
13	1217	7481
14	1300	7371
15	1373	7213
16	1445	7056
17	1524	6942
18	1597	6810
19	1667	6668
20	1741	6550
21	1811	6423
22	1887	6319
23	1960	6208
24	2048	6145
25	2151	6124
26	2228	6025
27	2305	5927
28	2376	5819
29	2454	5726
30	2529	5630
31	2604	5535
32	2682	5447
33	2759	5356
34	2831	5258
35	2906	5167
36	2977	5070
37	3055	4985
38	3155	4935
39	3239	4859
40	3311	4764
41	3382	4670
42	3459	4585
43	3532	4495
44	3610	4413
45	3687	4328
46	3764	4245
47	3841	4161
48	3912	4072
49	3991	3991
50	4068	3908
51	4158	3838
52	4236	3757
53	4310	3671
54	4387	3589
55	4463	3506
56	4542	3426
57	4619	3344
58	4695	3263
59	4768	3178
60	4848	3099
61	4927	3020
62	5000	2936
63	5078	2856
64	5182	2790
65	5263	2711
66	5355	2637
67	5427	2554
68	5515	2477
69	5589	2395
70	5664	2313
71	5742	2233
72	5819	2152
73	5892	2070
74	5982	1994
75	6062	1914
76	6155	1838
77	6236	1758
78	6313	1678
79	6392	1598
80	6469	1517
81	6548	1437
82	6631	1358
83	6710	1278
84	6786	1197
85	6857	1116
86	6936	1036
87	7014	956
88	7108	878
89	7206	800
90	7290	721
91	7372	641
92	7454	561
93	7536	481
94	7617	400
95	7696	320
96	7780	240
97	7857	160
98	7938	80
99	8016	0
